time.index,time,alameda,alpine,amador,butte,calaveras,colusa,contra.costa,del.norte,el.dorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,lake,lassen,los.angeles,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nevada,orange,placer,plumas,riverside,sacramento,san.benito,san.bernardi,san.diego,san.francisc,san.joaquin,san.luis.obi,san.mateo,santa.barbar,santa.clara,santa.cruz,shasta,sierra,siskiyou,solano,sonoma,stanislaus,sutter,tehama,trinity,tulare,tuolumne,ventura,yolo,yuba
11,1994Q3,468283.5381349079,585.0643070381417,6528.747583365775,50281.9081181672,4739.216486022983,5850.256171049385,243432.3827758273,4541.485408070567,24309.18899544611,236021.99911998003,5369.167589487515,36091.27329430167,33506.1621126084,4420.826805913923,163017.46133665057,27171.646146236013,9486.560170041897,4956.931043385427,3213069.469922472,23328.1119055063,85175.03629993068,3408.134558300812,23561.9349663633,47322.75543319751,1504.039065327597,4422.410631052643,113081.7806306372,37324.76400282745,18214.877228838366,1009372.1811796535,57995.11790658928,4238.063114403219,273644.2407849148,328361.3995877097,10996.045308591583,338041.46532793477,786214.1545768764,435870.7033463984,140585.86936388435,59727.65382652705,262408.0136370934,128001.04906944722,717457.3298222112,80323.45784502922,43836.27227287397,535.0255514125616,10035.564222482819,74275.15685177989,126689.37874302773,116512.48721463645,17144.980877329515,10878.298431430767,1845.2452885891223,96810.76494818319,10574.187440051857,211726.0441904656,53098.27717403682,10744.500187001997
12,1994Q4,470994.9351793433,483.86757572544667,6487.562693737424,50110.23032611671,4669.317988799294,5319.881468634905,246259.14758090125,4558.659067322043,24116.62687359912,242947.55323677984,5636.92212766595,36274.46951081991,37294.85309385037,4361.527252513616,153708.39588248907,23902.97147558821,9220.776253186486,4520.7175034180245,3201774.7774934517,25567.85903937453,84925.68320389032,3325.768537146228,23774.653747980527,45979.23398526622,1420.5873690905914,4430.785952342025,115220.04080283854,38288.34791294574,18107.710656710977,1010297.2070115848,59175.001102854905,4308.614779010592,273120.69818924274,327588.7779719154,10286.16750120501,339490.2144887013,784919.644633272,433556.28615527,136450.48531356195,61555.11018362143,264607.74693118525,127956.63842047007,723483.2529913522,80429.15307889272,44244.22417199494,548.3362472554436,9914.271921083013,73905.70211361254,127808.81915569148,112645.70710577915,17586.640158430357,10309.896334533662,1946.1305731420941,98801.55544377524,10446.821081212158,209418.81273372986,52857.66499043958,10338.907377914762
13,1995Q1,481302.9436473119,954.2546089449293,7068.453004850241,49092.584809461994,4622.1165261079095,5380.644666014253,246683.11707597272,4536.796643503376,26029.32063537358,236330.52809411607,5710.025278913914,36205.88832224263,36215.163574954975,4532.405105711628,162872.43857122993,22809.23138847575,9503.836153084096,4417.759965178876,3214664.180016294,25019.367364736936,85878.42519847817,3321.349844806171,23291.71141781603,44889.30960882899,1503.889534009023,4523.88658521449,118098.27060019567,38342.08420742538,19242.155106135357,1022670.6871600911,59876.25722476236,4217.8433832934425,279193.6781590079,328960.6752627797,9866.88345039103,343930.6620356059,793249.4136920999,437817.7110707538,135934.14189076563,61094.18982977112,267785.99131538824,130457.19010204746,710287.618479519,77247.65435029694,42740.189858559555,525.5683660888026,9873.634646593991,73391.55591348403,127082.66691404677,111008.97231117533,17291.121051042912,10709.986432259711,1772.9772394333168,93417.76766613814,10424.274015615169,206886.61965675154,54221.79105985758,10103.197343004475
14,1995Q2,487155.58475458104,1017.8132260697028,7348.236667693475,49769.27837110432,4605.34921515337,5822.217424970531,245774.35278471198,4618.059056871521,26360.863985475316,241648.92757069957,5982.885389141407,36446.369878293386,35598.82121472376,4630.241017940776,166840.69649809474,24444.152963642155,9426.827763993022,4886.591530833927,3229325.588259807,26856.664595283495,86330.85559497011,3496.7472485093867,23506.702230850442,46366.701370356124,1392.4840091520366,4307.9165029497135,113508.89639732872,38452.801684488906,19201.257356426297,1030641.9278504716,62062.6235134085,4146.478938451078,284654.3803588002,329900.14998262684,9872.90428325842,344516.6544895998,798255.7846580292,437422.30068289663,139644.508062796,61398.046632281126,268675.24733866885,129973.11964153004,735053.8008120753,80495.73646971921,43348.315892754435,581.0698966902886,10513.52956603603,73776.58661757056,127935.13679239275,111645.83976641811,17990.258430190366,11422.819007121792,1826.6470886249124,97116.91718160098,10652.717665445107,209822.52247111622,55096.268366972115,10340.396043032046
15,1995Q3,493556.5381349079,653.0643070381417,6803.747583365775,49602.9081181672,4710.216486022983,5719.256171049385,246125.3827758273,4668.485408070567,25640.18899544611,252769.99911998003,5867.167589487515,37079.27329430167,33714.1621126084,4724.826805913923,173287.46133665057,25440.646146236013,9895.560170041897,5133.931043385427,3224648.469922472,27282.1119055063,88175.03629993068,3571.134558300812,24663.9349663633,47204.75543319751,1557.039065327597,4377.410631052643,112942.7806306372,38501.76400282745,18394.877228838366,1032572.1811796535,62041.11790658928,4231.063114403219,284352.2407849148,335766.3995877097,10264.045308591583,346214.46532793477,801488.1545768764,443659.7033463984,141352.86936388435,62160.65382652705,270091.0136370934,129976.04906944722,747518.3298222112,81216.45784502922,44427.27227287397,532.0255514125616,10169.564222482819,75519.15685177989,128757.37874302773,116568.87864487687,17423.980877329515,11107.298431430767,1847.2452885891223,99054.76494818319,10632.187440051857,212836.0441904656,56315.27717403682,10912.500187001997
16,1995Q4,495818.9351793433,880.8675757254466,6971.562693737424,50638.23032611671,4901.317988799294,6150.881468634905,249387.14758090125,4781.659067322043,26869.62687359912,247400.55323677984,6192.92212766595,37653.46951081991,36248.85309385037,4871.527252513616,162029.39588248907,23323.97147558821,9684.776253186486,4987.7175034180245,3224394.7774934517,28171.85903937453,88189.68320389032,3726.768537146228,26320.653747980527,45936.23398526622,1577.5873690905914,4342.785952342025,117436.04080283854,40495.34791294574,18762.710656710977,1038768.2070115848,63683.001102854905,4297.614779010592,287362.69818924274,344091.7779719154,10726.16750120501,349435.2144887013,805428.644633272,438800.28615527,143336.48531356195,62830.11018362143,272350.74693118525,129855.63842047007,748330.2529913522,81504.15307889272,45114.22417199494,609.3362472554436,10408.271921083013,76324.70211361254,132953.81915569148,114609.70710577915,18531.640158430357,10897.896334533662,1886.1305731420941,94095.55544377524,10208.821081212158,211034.81273372986,57951.66499043958,11044.907377914762
17,1996Q1,501484.9436473119,991.2546089449293,6882.453004850241,51100.584809461994,4739.1165261079095,5947.644666014253,248321.11707597272,4867.796643503376,26611.32063537358,244465.52809411607,5795.025278913914,37817.88832224263,34994.163574954975,4902.405105711628,171273.43857122993,26124.23138847575,9809.836153084096,4764.759965178876,3229999.180016294,25748.367364736936,88450.42519847817,3534.349844806171,25087.71141781603,46103.30960882899,1564.889534009023,4218.88658521449,124431.27060019567,40992.08420742538,17613.155106135357,1045175.6871600911,65931.25722476236,4380.8433832934425,287992.6781590079,346688.6752627797,11003.88345039103,355968.6620356059,817968.4136920999,447241.7110707538,139586.14189076563,63775.18982977112,279924.99131538824,132291.19010204746,779120.618479519,79963.65435029694,44750.189858559555,587.5683660888026,10208.634646593991,75476.55591348403,133985.66691404677,114712.97231117533,18166.121051042912,11119.986432259711,1781.9772394333168,95356.76766613814,9496.274015615169,215699.61965675154,55536.79105985758,10819.197343004475
18,1996Q2,502674.58475458104,1071.8132260697028,6831.236667693475,51521.27837110432,4745.34921515337,6623.217424970531,250021.35278471198,4857.059056871521,27058.863985475316,250545.92757069957,5783.885389141407,38433.369878293386,34100.82121472376,4753.241017940776,180437.69649809474,26762.152963642155,9788.827763993022,5236.591530833927,3275423.588259807,27355.664595283495,88688.85559497011,3617.7472485093867,25998.702230850442,47796.701370356124,1458.4840091520366,4628.9165029497135,121804.89639732872,40910.801684488906,18688.257356426297,1052598.9278504716,67441.6235134085,4323.478938451078,296890.3803588002,351036.14998262684,12342.90428325842,358533.6544895998,828659.7846580292,449192.30068289663,143815.508062796,63966.046632281126,283808.24733866885,135617.11964153004,787677.8008120753,83714.73646971921,45133.315892754435,621.0698966902886,10871.52956603603,76365.58661757056,136927.13679239273,115839.83976641811,18555.258430190366,11362.819007121792,1827.6470886249124,97333.91718160098,9885.717665445107,216409.52247111622,55585.268366972115,10783.396043032046
19,1996Q3,511903.5381349079,691.0643070381417,7029.747583365775,51182.9081181672,4770.216486022983,6256.256171049385,251612.3827758273,5091.485408070567,26759.18899544611,261665.99911998003,5928.167589487515,38147.27329430167,32965.1621126084,5081.826805913923,186467.46133665057,27110.646146236013,9510.560170041897,5404.931043385427,3284516.469922472,28622.1119055063,88286.03629993068,3749.134558300812,26015.9349663633,47790.75543319751,1565.039065327597,4372.410631052643,117857.7806306372,40796.76400282745,18110.877228838366,1053150.1811796534,67675.11790658928,4356.063114403219,291191.2407849148,349921.3995877097,12734.045308591583,357192.46532793477,830563.1545768764,456789.7033463984,145920.86936388435,63255.65382652705,286831.0136370934,133106.04906944724,796092.3298222112,81859.45784502922,44892.27227287397,608.0255514125616,10683.564222482819,78330.15685177989,137295.37874302774,118952.48721463645,18967.980877329515,11175.298431430767,1854.2452885891223,98779.76494818319,9970.187440051857,214752.0441904656,55991.27717403682,11058.160255201512
20,1996Q4,514857.9351793433,1007.8675757254466,7120.562693737424,52472.23032611671,4897.317988799294,6252.881468634905,253006.14758090125,4885.659067322043,27098.62687359912,244809.55323677984,5867.92212766595,38569.46951081991,36908.85309385037,5027.527252513616,166964.39588248907,25847.97147558821,9768.776253186486,4890.7175034180245,3312868.7774934517,26738.85903937453,88685.68320389032,3668.768537146228,26228.653747980527,46548.23398526622,1530.5873690905914,4496.785952342025,120022.04080283854,41213.34791294574,18372.710656710977,1061875.2070115847,70004.0011028549,4376.614779010592,297953.69818924274,351705.7779719154,12030.16750120501,360276.2144887013,836072.644633272,458088.28615527,145091.48531356195,63670.11018362143,292090.74693118525,134161.63842047006,804496.2529913522,81262.15307889272,45166.22417199494,630.3362472554436,10961.271921083013,77544.70211361254,140002.81915569148,119728.70710577915,18092.640158430357,11210.896334533662,1789.1305731420941,99847.55544377524,9827.821081212158,213770.81273372986,55921.66499043958,11248.907377914762
