date,routput,rcon,rcong,rconnd,rcond,rcons,rconshh,rconsnp,rinvbf,rinvresid,rex,rimp,rg,rgf,rgsl,rconhh,noutput,ncong,nconshh,nconsnp,nconhh,p,pcong,pconshh,pconsnp,pconhh,pconx,oph,ulc,rconm,rcongm,rcondm,rconndm,rconsm,rconshhm,rconsnpm,rconhhm,ncongm,nconshhm,nconsnpm,nconhhm,pcongm,pconshhm,pconsnpm,pconhhm,pcpi,pcpix,pppi,pppix,employ_level,employ_pct_chg,h,hg,hs,ipt,ipm,cut,cum,hstarts
1969:Q4,-0.0547,1.726,,1.8186,-2.8036,3.5532,,,3.9404,3.5871,9.0573,9.1324,-1.0667,-5.7017,4.401,,4.4421,,,,,4.4993,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6666666666667,0.878966666666667,,,,-6.84146666666667,-8.31186666666667,,,1291.33333333333
1970:Q1,-1.58,2.8468,,6.5687,-5.9925,3.075,,,0.9697,-19.527,14.4002,7.5203,-4.5041,-13.3476,3.8065,,3.4894,,,,,5.1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.135733333333333,,,,-3.57736666666667,-4.90216666666667,,,1290.0
1970:Q2,0.2766,2.9865,,0.7805,10.0301,1.9517,,,-1.9631,-12.8558,9.5552,7.3816,-8.7974,-15.8392,-1.0796,,4.4927,,,,,4.2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,-190.666666666667,-3.16703333333333,,,,-5.9057,-5.66096666666667,,,1246.33333333333
1970:Q3,1.4424,1.7686,,3.1339,-4.6288,3.2544,,,-2.9591,-1.985,3.8347,0.7944,1.1372,-3.4931,5.5543,,5.9356,,,,,4.4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.6666666666667,-1.34126666666667,,,,-5.76456666666667,-7.38623333333333,,,1506.66666666667
1970:Q4,-3.3125,-2.0688,,5.8895,-27.6577,2.147,,,-14.2443,38.5859,-1.5296,9.3061,-0.2842,-2.3951,1.6227,,2.2099,,,,,5.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109.0,-1.69883333333333,,,,-4.30386666666667,-3.1835,,,1743.0
1971:Q1,6.4244,7.5041,,-0.9441,52.0989,1.7075,,,11.4721,44.2343,13.9005,13.6275,-1.6997,-13.8704,9.9787,,12.0233,,,,,5.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6666666666667,0.808766666666667,,,,2.09673333333333,1.6463,,,1778.0
1971:Q2,3.6673,5.6437,,6.862,8.5667,2.9993,,,3.6621,26.7131,-2.2534,27.1439,-1.1577,-5.7264,2.6541,,7.9458,,,,,4.1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.0,-0.640566666666667,,,,5.43786666666667,5.27703333333333,,,1938.66666666667
1971:Q3,2.8468,3.6233,,0.0,14.1469,2.7651,,,2.5656,6.1997,13.4608,9.1896,7.8042,15.3583,2.1052,,6.238,,,,,3.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.602333333333333,2.3924,-0.64275,5.0992,-4.49876666666667,-6.06793333333333,,,2134.66666666667
1971:Q4,6.074,4.0246,,3.4463,5.368,4.2457,,,3.5963,8.7541,-36.7648,-31.9995,9.7962,10.6047,9.7098,,7.6529,,,,,1.4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,1.14343333333333,4.81316666666667,7.59406666666667,2.95043333333333,7.01983333333333,9.14676666666667,,,2294.33333333333
1972:Q1,5.2653,3.7394,,0.7544,8.8836,4.4192,,,16.105,37.4443,66.6954,66.4364,6.3154,4.4473,7.8549,,11.7841,,,,,6.1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.666666666667,3.4136,1.18746666666667,2.1337,1.54143333333333,6.8773,6.9853,,,2528.66666666667
1972:Q2,8.9483,6.8215,,8.6511,7.077,4.7354,,,11.1431,0.0,-7.6953,-13.5167,5.4527,7.8652,3.5734,,11.2275,,,,,2.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.666666666667,2.272,3.52203333333333,1.37053333333333,5.15146666666667,7.16446666666667,6.90933333333333,,,2245.0
1972:Q3,5.9452,6.1255,,2.9396,15.5272,5.3023,,,3.883,7.1614,28.4417,10.9492,-0.8313,-12.5489,8.2115,,8.2477,,,,,2.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,2.46673333333333,3.47993333333333,2.1454,4.3379,5.7772,6.57026666666667,,,2330.0
1972:Q4,8.4449,7.7031,,6.2712,15.7849,5.2408,,,15.0317,14.3926,25.1519,21.5906,1.1267,-10.118,10.1445,,11.3839,,,,,2.7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.666666666667,2.961,2.68833333333333,1.88756666666667,3.22883333333333,11.5151333333333,12.3518,,,2415.66666666667
1973:Q1,7.8609,10.1852,,7.1027,32.371,2.9591,,,16.9653,10.263,25.318,26.513,0.5618,-4.662,5.368,,14.2996,,,,,5.9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.333333333333,4.55896666666667,6.6336,9.83653333333333,5.75533333333333,7.945,8.73203333333333,,,2390.33333333333
1973:Q2,2.581,0.7985,,-1.2182,-1.3605,3.9211,,,2.6577,-3.3284,0.0,-17.1041,1.3923,-4.7249,5.6858,,9.4956,,,,,6.7406,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.666666666667,2.43486666666667,5.23466666666667,5.26496666666667,4.96046666666667,7.48823333333333,8.26233333333333,,,2217.33333333333
1973:Q3,3.5461,2.5544,,3.5552,-4.4005,5.4648,,,9.5012,-7.6992,-2.9694,-2.5931,0.5521,-6.0436,5.1542,,10.449,,,,,6.6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.666666666667,2.80533333333333,3.30796666666667,2.443,3.8954,5.01046666666667,6.5274,,,1994.66666666667
1973:Q4,1.3379,-2.5553,,-1.0385,-18.3411,5.18,,,3.919,-38.1116,15.0223,4.0604,-0.5506,-10.728,6.5323,,9.3571,,,,,7.9133,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.333333333333,2.89443333333333,1.5243,4.051,0.0478000000000001,0.772166666666667,4.2006,,,1555.33333333333
1974:Q1,-5.8351,-2.7287,,-1.9134,-9.5715,0.0,,,-1.6824,-31.967,4.0024,4.102,5.6684,10.5972,2.7179,,4.3457,,,,,10.8117,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.6666666666667,-1.04613333333333,-6.02993333333333,-12.9173,-26.1700666666667,-7.3614,-7.0624,,,1582.0
1974:Q2,-1.1987,1.941,,-1.0676,9.0362,1.7204,,,0.416,-8.7857,2.2007,19.3923,-1.9041,-1.4134,-2.6489,,7.4718,,,,,8.7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6666666666667,1.3731,2.13056666666667,-0.483366666666667,3.46146666666667,3.28343333333333,4.3312,,,1557.0
1974:Q3,-2.8703,2.981,,2.5281,4.1839,3.0503,,,-4.8821,-28.8925,-13.9218,-7.7516,-1.0929,-1.4134,-0.8909,,8.2813,,,,,11.4811,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-0.0544333333333333,-1.75466666666667,-6.4846,2.08853333333333,0.0648333333333332,0.846166666666667,,,1193.66666666667
1974:Q4,-9.0997,-11.9262,,-7.0676,-42.9201,1.885,,,-18.8951,-44.1694,-10.815,-20.7906,-0.2739,-1.4084,0.4482,,3.3456,,,,,13.6911,,,,,,,,,,,,,,,,,,,,,,,,,,,,-362.333333333333,-5.30556666666667,-11.6113333333333,-22.7289,-4.56353333333333,-19.959,-20.6215,,,994.0
1975:Q1,-10.3668,3.1412,,2.3695,13.5717,-0.5593,,,-20.9823,-45.8459,-15.0856,-27.9917,5.5814,7.2044,4.5551,,-3.2308,,,,,7.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,-457.0,-6.86033333333333,-15.6594666666667,-33.4531,-4.27103333333333,-25.706,-26.4985666666667,,,981.333333333333
1975:Q2,-0.3073,6.2367,,6.2539,10.0198,4.7622,,,-12.7101,2.3323,-25.8939,-27.2652,4.404,7.8887,3.1405,,4.8288,,,,,5.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3333333333333,0.180566666666667,0.793733333333333,2.03133333333333,0.123366666666667,-1.01833333333333,0.414866666666667,,,1062.0
1975:Q3,11.1584,6.9949,,3.9439,24.9196,2.4349,,,0.4991,47.9371,13.9452,43.8405,1.0767,0.6879,1.3267,,16.7562,,,,,5.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,4.28973333333333,7.3431,18.4404666666667,1.94933333333333,15.8370333333333,16.1211333333333,,,1246.0
1975:Q4,5.3994,3.4656,,5.0271,8.0694,0.7997,,,8.9666,31.5962,11.9552,11.1353,3.7628,4.2821,3.4629,,12.221,,,,,6.4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,2.61203333333333,8.89816666666667,10.1774,2.3872,6.78856666666667,7.22053333333333,,,1380.66666666667
1976:Q1,7.5038,7.5434,,6.5941,22.4971,4.0219,,,7.6924,14.4856,-10.2214,26.1663,0.0,-1.2429,0.4843,,11.5022,,,,,3.7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,3.9523,3.18783333333333,-1.32536666666667,5.25303333333333,7.63486666666667,8.08916666666667,,,1406.66666666667
1976:Q2,4.3706,4.0568,,4.0002,0.9689,5.2984,,,9.5611,16.3342,0.0,3.6863,4.1879,5.5632,3.158,,9.3045,,,,,4.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.333333333333,2.20106666666667,1.7134,3.39383333333333,1.50903333333333,7.04903333333333,8.44453333333333,,,1426.33333333333
